relation_type,source_id,target_id,direction
varword,03012306,06749208,forward
varword,03012306,03012406,forward
synonym,03012306,06664201,forward
synonym,03012306,05056805,forward
synonym,03012307,03012406,forward
synonym,03012307,06749208,forward
generic,03012307,pwn_00184110V,forward
has_facet,03012401,0301240101,forward
has_facet,03012401,0301240102,forward
has_facet,03012401,0301240103,forward
has_facet,03012401,0301240104,forward
generic,03012401,pwn_01890772V,forward
generic,03012402,pwn_01648022V,forward
synonym,03012403,03012305,forward
synonym,03012403,06749229,forward
generic,03012403,pwn_01176015V,forward
generic,03012404,pwn_01699581V,forward
generic,03012405,pwn_01699581V,forward
synonym,03012406,03012307,forward
synonym,03012406,06749208,forward
generic,03012406,pwn_00184110V,forward
varword,03012406,03012306,forward
generic,03012601,pwn_01238553V,forward
has_facet,03012701,0301270101,forward
has_facet,03012701,0301270102,forward
hypernym,03012701,pwn_01463399V,forward
generic,03012801,pwn_01336773V,forward
varword,03012801,0672930101,forward
has_facet,03012802,0301280201,forward
has_facet,03012802,0301280202,forward
generic,03012802,pwn_00393210V,forward
synonym,03013001,05007201,forward
generic,03013001,pwn_10943650N,forward
holonym,03013001,06560101,forward
synonym,03013002,05007202,forward
generic,03013002,pwn_10943650N,forward
has_facet,03013101,0301310101,forward
has_facet,03013101,0301310102,forward
generic,03013101,pwn_00014012A,forward
generic,03013102,pwn_01141385A,forward
has_facet,03013201,0301320101,forward
has_facet,03013201,0301320102,forward
generic,03013201,pwn_00872382A,forward
has_facet,03013202,0301320201,forward
has_facet,03013202,0301320202,forward
generic,03013202,pwn_00045197R,forward
synonym,03013301,0414970101,forward
generic,03013301,pwn_02456798N,forward
synonym,03013301,04149701,forward
hyponym,03013302,0673180102,forward
generic,03013302,pwn_00786286V,forward
hyponym,03013302,06731801,forward
generic,03013303,pwn_02592220N,forward
hypernym,03013303,06667101,forward
hyponym,03013304,pwn_00741327V,forward
hyponym,03013304,pwn_01850598V,forward
nearsynonym,03013305,pwn_00062420N,forward
hyponym,03013306,pwn_01733557V,forward
hyponym,03013306,pwn_01247189V,forward
has_facet,03013401,0301340101,forward
has_facet,03013401,0301340102,forward
generic,03013401,pwn_01733968V,forward
has_facet,03013501,0301350101,forward
has_facet,03013501,0301350102,forward
generic,03013501,pwn_01336681V,forward
hypernym,03013601,0654980101,forward
generic,03013601,pwn_00268771V,forward
hypernym,03013601,06549801,forward
synonym,03013602,04000902,forward
synonym,03013602,06774402,forward
synonym,03013603,04000903,forward
synonym,03013603,0677440101,forward
generic,03013603,pwn_00039142R,forward
synonym,03013603,06774401,forward
nearsynonym,03013605,0602750102,forward
nearsynonym,03013605,09031901,forward
nearsynonym,03013605,03028501,forward
nearsynonym,03013605,07103901,forward
nearsynonym,03013605,07104001,forward
nearsynonym,03013605,04037301,forward
nearsynonym,03013605,06567909,forward
nearsynonym,03013605,08012001,forward
nearsynonym,03013605,07106401,forward
nearsynonym,03013605,07124501,forward
nearsynonym,03013605,07066401,forward
nearsynonym,03013605,08020201,forward
nearsynonym,03013605,04016301,forward
nearsynonym,03013605,04019408,forward
nearsynonym,03013605,09284301,forward
nearsynonym,03013605,09242201,forward
nearsynonym,03013605,04013208,forward
nearsynonym,03013605,08012101,forward
nearsynonym,03013605,08000501,forward
nearsynonym,03013605,06586501,forward
nearsynonym,03013605,07106301,forward
nearsynonym,03013605,0302650602,forward
nearsynonym,03013605,05033402,forward
nearsynonym,03013605,09047501,forward
nearsynonym,03013605,09281501,forward
nearsynonym,03013605,09281601,forward
nearsynonym,03013605,09064701,forward
nearsynonym,03013605,09272701,forward
nearsynonym,03013605,09272801,forward
nearsynonym,03013605,09272901,forward
nearsynonym,03013605,09273001,forward
